 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,30487,1,1,52,84,52,52,52.0,0.0,84,84,84.0,0.0,4460.917768,65.60173189,30487.0,0.0,30487,30487,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.80086594,32.80086594,52,84,62.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,94.0,52.0,84.0,20,0,0,0,0,0,0,1,52,1,84,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30403,1,1,55,119,55,55,55.0,0.0,119,119,119.0,0.0,5723.119429,65.78298194,30403.0,0.0,30403,30403,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.89149097,32.89149097,55,119,76.33333333,36.95041723,1365.333333,0,0,0,0,0,0,0,0,1,114.5,55.0,119.0,20,0,0,0,0,0,0,1,55,1,119,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,108156656,2,2,91,199,48,43,45.5,3.535533906,123,76,99.5,33.23401872,2.681295916,0.036983392,36100000.0,62300000.0,108000000,31142,108000000,108000000.0,0.0,108000000,108000000,108000000,108000000.0,0.0,108000000,108000000,0,0,0,0,52,52,0.018491696,0.018491696,43,123,67.6,33.59017714,1128.3,0,0,0,0,0,0,0,0,1,84.5,45.5,99.5,52,0,0,0,0,0,0,2,91,2,199,-1,-1,1,20,31142.0,0.0,31142,31142,108000000.0,0.0,108000000,108000000,BENIGN
53,149,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,1100671.141,26845.63758,49.66666667,81.69659316,144,2,3,3.0,0.0,3,3,2,2.0,0.0,2,2,0,0,0,0,40,40,13422.81879,13422.81879,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,40,0,0,0,0,0,0,2,66,2,98,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,157,2,2,66,122,33,33,33.0,0.0,61,61,61.0,0.0,1197452.229,25477.70701,52.33333333,84.58329228,150,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,12738.8535,12738.8535,33,61,44.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,55.25,33.0,61.0,40,0,0,0,0,0,0,2,66,2,122,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48417804,2,2,116,217,61,55,58.0,4.242640687,119,98,108.5,14.8492424,6.877635343,0.082614238,16100000.0,27900000.0,48300000,30444,48400000,48400000.0,0.0,48400000,48400000,48400000,48400000.0,0.0,48400000,48400000,0,0,0,0,40,40,0.041307119,0.041307119,55,119,78.8,28.21701614,796.2,0,0,0,0,0,0,0,0,1,98.5,58.0,108.5,40,0,0,0,0,0,0,2,116,2,217,-1,-1,1,20,53850.0,0.0,53850,53850,48300000.0,0.0,48300000,48300000,BENIGN
53,4882388,2,2,112,243,57,55,56.0,1.414213562,128,115,121.5,9.192388155,72.71032126,0.819271225,1627462.667,2792205.374,4851578,536,4852114,4852114.0,0.0,4852114,4852114,4881852,4881852.0,0.0,4881852,4881852,0,0,0,0,40,40,0.409635613,0.409635613,55,128,82.4,35.99722212,1295.8,0,0,0,0,0,0,0,0,1,103.0,56.0,121.5,40,0,0,0,0,0,0,2,112,2,243,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,836,2,2,74,106,37,37,37.0,0.0,53,53,53.0,0.0,215311.0048,4784.688995,278.6666667,439.0744052,785,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,2392.344498,2392.344498,37,53,43.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,54.25,37.0,53.0,40,0,0,0,0,0,0,2,74,2,106,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,96803,1,1,61,158,61,61,61.0,0.0,158,158,158.0,0.0,2262.326581,20.66051672,96803.0,0.0,96803,96803,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10.33025836,10.33025836,61,158,93.33333333,56.00297611,3136.333333,0,0,0,0,0,0,0,0,1,140.0,61.0,158.0,20,0,0,0,0,0,0,1,61,1,158,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,418,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,392344.4976,9569.37799,139.3333333,197.6419321,366,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,40,40,4784.688995,4784.688995,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,40,0,0,0,0,0,0,2,66,2,98,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23442,1,1,43,99,43,43,43.0,0.0,99,99,99.0,0.0,6057.503626,85.31695248,23442.0,0.0,23442,23442,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,42.65847624,42.65847624,43,99,61.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,92.5,43.0,99.0,20,0,0,0,0,0,0,1,43,1,99,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,49545,1,1,44,72,44,44,44.0,0.0,72,72,72.0,0.0,2341.305884,40.36734282,49545.0,0.0,49545,49545,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,20.18367141,20.18367141,44,72,53.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,80.0,44.0,72.0,20,0,0,0,0,0,0,1,44,1,72,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31424,2,2,90,228,45,45,45.0,0.0,114,114,114.0,0.0,10119.65377,127.2912424,10474.66667,18096.77077,31371,3,50,50.0,0.0,50,50,3,3.0,0.0,3,3,0,0,0,0,40,40,63.64562118,63.64562118,45,114,72.6,37.79285647,1428.3,0,0,0,0,0,0,0,0,1,90.75,45.0,114.0,40,0,0,0,0,0,0,2,90,2,228,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,781,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,209987.1959,5121.638924,260.3333333,433.631564,761,4,4,4.0,0.0,4,4,16,16.0,0.0,16,16,0,0,0,0,40,40,2560.819462,2560.819462,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,40,0,0,0,0,0,0,2,66,2,98,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
